company_id,company_name,country,sector,case,official_company_baseline_tco2e,facility_seed_baseline_tco2e,facility_reconciliation_ratio,modelled_facility_count,total_facility_count,emissions_coverage_ratio,production_coverage_ratio,unmodelled_residual_emissions_tco2e,transition_operational_ghg_tco2e,modelled_operational_abatement_tco2e,system_abatement_status,transition_capex_usd_2025,capex_by_2030_usd_2025,capex_2031_2040_usd_2025,capex_2041_2050_usd_2025,cumulative_capex_2030_usd_2025,cumulative_capex_2040_usd_2025,cumulative_capex_2050_usd_2025,annual_operational_abatement_per_usd_million_capex,no_regret_capex_share,price_conditional_capex_share,contract_dependent_capex_share,level_support_dependent_capex_share,largest_capex_facility_id,largest_capex_facility_share,dominant_common_factors,currency,price_year,value_type,quality_flag,source_id,method_note
POSCO,POSCO,Korea,steel,low,69846050,62861445,1,2,2,1,NA,0,27938420,34923025,not_modelled; leakage and replacement production pending,9508744430.7,2593293935.7,6915450495,0,2593293935.7,9508744430.7,9508744430.7,3672.727272724595765488754751,0,0.2727272727330090739526683912,0.7272727272669909260473316088,0,KR_POSCO_POHANG,0.7272727272669909260473316088,hydrogen and clean electricity|scrap and electricity,USD,2025 screening proxy,Modelled,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
POSCO,POSCO,Korea,steel,base,69846050,69846050,1,2,2,1,NA,0,17461512.5,52384537.5,not_modelled; leakage and replacement production pending,18153057549.5,5705246658.3,12447810891.2,0,5705246658.3,18153057549.5,18153057549.5,2885.71428571507267341074101,0,0.3142857142794186127140719226,0.6857142857205813872859280774,0,KR_POSCO_POHANG,0.6857142857205813872859280774,hydrogen and clean electricity|scrap and electricity,USD,2025 screening proxy,Modelled,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
POSCO,POSCO,Korea,steel,high,69846050,76830655,1,2,2,1,NA,0,12223058.75,64607596.25,not_modelled; leakage and replacement production pending,31119527228.1,10373175742.5,20746351485.6,0,10373175742.5,31119527228.1,31119527228.1,2076.111111085944704792460786,0,0.3333333333269065004790280791,0.6666666666730934995209719209,0,KR_POSCO_POHANG,0.6666666666730934995209719209,hydrogen and clean electricity|scrap and electricity,USD,2025 screening proxy,Modelled,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,low,79013000,67161050.001,1.000000000012656145191297635,11,11,1.000000000012656145191297635,NA,0,34663612.4613,32497437.5397,not_modelled; leakage and replacement production pending,16846250000,31250000,16815000000,0,31250000,16846250000,16846250000,1929.06062415671143429546635,0,0.001855012243080804333308599837,0.9981449877569191956666914002,0,JP_NSC_OITA,0.2478296356755954589300289382,electricity|hydrogen and clean electricity,USD,2025 screening proxy,Modelled,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|POSCO_CLIMATE_2026,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,base,79013000,79013000.001,1.000000000012656145191297635,11,11,1.000000000012656145191297635,NA,0,21593790.7835,57419209.2175,not_modelled; leakage and replacement production pending,26966500000,62500000,26904000000,0,62500000,26966500000,26966500000,2129.279261954647432926037862,0,0.002317690467802644021285669256,0.9976823095321973559787143307,0,JP_NSC_OITA,0.2477147571987465929950123301,electricity|hydrogen and clean electricity,USD,2025 screening proxy,Modelled,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|POSCO_CLIMATE_2026,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,high,79013000,90864950,1.000000000012656145191297635,11,11,1.000000000012656145191297635,NA,0,7148320.608,83716629.392,not_modelled; leakage and replacement production pending,40481000000,125000000,40356000000,0,125000000,40481000000,40481000000,2068.047464044860551863837356,0,0.003087868382698055878066253304,0.9969121316173019441219337467,0,JP_NSC_OITA,0.2475235295570761591857908649,electricity|hydrogen and clean electricity,USD,2025 screening proxy,Modelled,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|POSCO_CLIMATE_2026,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,low,5370773,5370778,1.000000930964686088948462354,3,5,0.9267086879300242255630614066,NA,393636,3877635.4,1493142.6,not_modelled; leakage and replacement production pending,298628520,0,298628520,0,0,298628520,298628520,5000,0,0,0,1,KR_LOTTE_YEOSU_BASIC,0.5205851068745878658876921735,"electricity and technology cost|electricity, technology cost and ownership",USD,2025 screening proxy,Modelled,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|NA,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,base,5370773,5370778,1.000000930964686088948462354,3,5,0.9267086879300242255630614066,NA,393636,2882207,2488571,not_modelled; leakage and replacement production pending,746571300,0,746571300,0,0,746571300,746571300,3333.333333333333333333333333,0,0,0,1,KR_LOTTE_YEOSU_BASIC,0.5205851068745878658876921735,"electricity and technology cost|electricity, technology cost and ownership",USD,2025 screening proxy,Modelled,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|NA,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
LOTTE_CHEMICAL,LOTTE Chemical Corporation,Korea,petrochemicals,high,5370773,5370778,1.000000930964686088948462354,3,5,0.9267086879300242255630614066,NA,393636,1886778.6,3483999.4,not_modelled; leakage and replacement production pending,1741999700,0,1741999700,0,0,1741999700,1741999700,2000,0,0,0,1,KR_LOTTE_YEOSU_BASIC,0.5205851068745878658876921735,"electricity and technology cost|electricity, technology cost and ownership",USD,2025 screening proxy,Modelled,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|LOTTE_ESG_2025|MCI_WEST_JAPAN_2026|NA,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
MITSUI_CHEMICALS,"Mitsui Chemicals, Inc.",Japan,petrochemicals,low,3869000,2708300,1,4,7,0.85,NA,232140,1965452,742848,not_modelled; leakage and replacement production pending,148569600,0,148569600,0,0,148569600,148569600,5000,0,0,0,1,JP_MCI_ICHIHARA,0.390625,"electricity and technology cost|electricity, technology cost and JV rights",USD,2025 screening proxy,Modelled,D,IEA_CTG_2026|IEA_PETCHEM_COST_2018|MCI_ESG_2025|MCI_WEST_JAPAN_2026|MCI_WORKS_2026|NA,"Facility calculation and company aggregation; screening CAPEX and operational abatement only. Cost gap, verified support, system abatement and production coverage remain pending."
