company_id,company_name,country,sector,allocation_order,facility_id,facility_name,selected_route,decision_year,dependency_status,baseline_operational_ghg_tco2e,gross_modelled_operational_abatement_tco2e,physical_availability_ratio,physically_available_operational_abatement_tco2e,assigned_abatement_to_2050_gap_tco2e,assigned_transition_capex_usd_2025,assigned_annual_resource_gap_usd_2025,assigned_abatement_per_usd_million_capex,share_of_company_2050_required_reduction,project_evidence_status,capital_classification,production_coverage_ratio,emissions_coverage_ratio,currency,price_year,value_type,quality_flag,source_id,formula_or_method,boundary_note
POSCO,POSCO,Korea,steel,1,KR_POSCO_GWANGYANG,Gwangyang Steelworks,steel_scrap_eaf,2030,price-conditional,38415327.5,28811495.625,0.1314579447514156217178183418,3787500.000076902897679578139,3787500.000076902897679578139,750000000.0000000000000000001,106089342.9751912490528492543,5050.000000102537196906104185,0.05727750412257887991923912173,official_2p5mt_capacity_and_krw600bn_investment_observed,physically_constrained_beyond_disclosed_project,NA,1,USD,2025 screening proxy,allocated,D,POSCO_CLIMATE_2026|POSCO_ESG_2025|POSCO_GREEN_BOND_2024|POSCO_GW_EAF_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
POSCO,POSCO,Korea,steel,2,KR_POSCO_POHANG,Pohang Steelworks,steel_h2_dri_eaf,2040,contract-dependent,31430722.5,23573041.875,1,23573041.875,23573041.875,12447810891.2,2608780555.50675348545330895,1893.749999983129563757394496,0.3564897698084810489862501525,route_capacity_not_project_verified,contract-dependent,NA,1,USD,2025 screening proxy,allocated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|POSCO_CLIMATE_2026|POSCO_ESG_2025|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,1,JP_NSC_OSAKA,Kansai Works Osaka Area,steel_eaf_efficiency,2030,price-conditional,67958.429,6795.8429,1,6795.8429,6795.8429,1500000,184238.1150312230986525387569,4530.561933333333333333333333,0.0000908485653256534080528805732,route_capacity_not_project_verified,price-conditional,1,1,USD,2025 screening proxy,allocated,D,NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,2,JP_NSC_SHUNAN,Setouchi Works Yamaguchi Shunan Area,steel_eaf_efficiency,2030,price-conditional,453056.193,45305.6193,1,45305.6193,45305.6193,10000000,1228254.100208153991016925046,4530.56193,0.0006056571017254141982875091945,route_capacity_not_project_verified,price-conditional,1,1,USD,2025 screening proxy,allocated,D,NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,3,JP_NSC_HIROHATA,Setouchi Works Hirohata Area,steel_eaf_efficiency,2030,price-conditional,1381821.388,138182.1388,1,138182.1388,138182.1388,30500000,3746175.00563486967260162139,4530.561927868852459016393443,0.001847254159393576686750098521,route_capacity_not_project_verified,price-conditional,1,1,USD,2025 screening proxy,allocated,D,NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,4,JP_NSC_HIKARI,Setouchi Works Yamaguchi Hikari Area,steel_eaf_efficiency,2030,price-conditional,928765.195,92876.5195,1,92876.5195,92876.5195,20500000,2517920.905426715681584696344,4530.561926829268292682926829,0.001241597057668162488462589326,route_capacity_not_project_verified,price-conditional,1,1,USD,2025 screening proxy,allocated,D,NSC_DB_2025|POSCO_CLIMATE_2026|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,5,JP_NSC_KASHIMA,East Nippon Works Kashima Area,steel_h2_dri_eaf,2040,contract-dependent,13795561.067,10346670.80025,1,10346670.80025,10346670.80025,4872000000,1088280619.97684674161404336,2123.700903171182266009852217,0.1383169405077834788312480906,route_capacity_not_project_verified,contract-dependent,1,1,USD,2025 screening proxy,allocated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,6,JP_NSC_OITA,Kyushu Works Oita Area,steel_h2_dri_eaf,2040,contract-dependent,18915096.044,14186322.033,1,14186322.033,14186322.033,6680000000,1492141736.738853906810716265,2123.700903143712574850299401,0.1896463798399101843249082913,route_capacity_not_project_verified,contract-dependent,1,1,USD,2025 screening proxy,allocated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,7,JP_NSC_KIMITSU,East Nippon Works Kimitsu Area,steel_h2_dri_eaf,2040,contract-dependent,14950854.358,11213140.7685,1,11213140.7685,11213140.7685,5280000000,1179417420.649932429335416449,2123.700903125,0.1499001325667519048650641055,route_capacity_not_project_verified,contract-dependent,1,1,USD,2025 screening proxy,allocated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
NIPPON_STEEL,Nippon Steel Corporation,Japan,steel,8,JP_NSC_WAKAYAMA,Kansai Works Wakayama Area,steel_h2_dri_eaf,2040,contract-dependent,4938312.5,3703734.375,1,3703734.375,3703734.375,1744000000,389565148.0298564690835163423,2123.700903096330275229357798,0.04951246802895570124809029896,route_capacity_not_project_verified,contract-dependent,1,1,USD,2025 screening proxy,allocated,D,IEA_STEEL_BREAKTHROUGH_2025|NEDO_H2_STEEL_2026|NSC_DB_2025|annual_cost_gap_assumptions_mvp,available abatement = base modelled operational abatement x physical availability; assignment follows decision year then annual resource-gap efficiency and is capped by the company 2050 reduction requirement; capital and annual gap scale pro rata,"Conditional operational Scope 1+2 pathway only. Except for the disclosed Gwangyang block, route capacity is not project-verified; replacement production and system abatement remain unmodelled."
