company_id,year,revenue,ebitda,capex_total,total_debt,net_debt,interest_expense,cash,source_id
POSCO,2020,26509.9,1135.2,,,,,,POSCO_IR_MEDIA
POSCO,2021,39900.0,6600.0,,,,,,POSCO_IR_MEDIA
POSCO,2022,42695.0,2295.0,,,,,,POSCO_IR_MEDIA
POSCO,2023,38972.0,2083.0,,,,,,POSCO_IR_MEDIA
POSCO,2024,37556.0,1473.0,,,,,,POSCO_IR_MEDIA
POSCO,2025,35011.0,1780.0,,,,,,POSCO_IR_MEDIA
NSC,2020,48292.0,114.0,4745.0,25592.0,21997.0,,3595.0,NSC_IRBANK
NSC,2021,68088.0,8409.0,4074.0,26533.0,21023.0,,5510.0,NSC_IRBANK
NSC,2022,79755.0,8836.0,4376.0,26993.0,20289.0,,6704.0,NSC_IRBANK
NSC,2023,88680.0,7787.0,4574.0,27116.0,22627.0,,4489.0,NSC_IRBANK
NSC,2024,86955.0,5480.0,5835.0,25074.0,18349.0,,6725.0,NSC_IRBANK
NSC,2025,100632.0,2429.0,9430.0,51742.0,47129.0,,4613.0,NSC_IRBANK
LOTTE,2021,,1535.6,,,,,,LOTTE_IR_FIN
LOTTE,2022,22276.1,-758.4,,,,,,LOTTE_IR_FIN
LOTTE,2023,19949.1,-333.2,,,,,,LOTTE_IR_FIN
LOTTE,2024,20430.4,-894.8,,,,,,LOTTE_IR_FIN
LOTTE,2025,18483.0,-943.0,,,,,,LOTTE_IR_FIN
MCI,2020,12117.0,851.0,932.0,,,,,MITSUI_KESSAN
MCI,2021,16127.0,1618.0,2071.0,,,,1811.0,MITSUI_KESSAN
MCI,2022,18795.0,1139.0,1680.0,7947.0,6084.0,58.0,1863.0,MITSUI_KESSAN
MCI,2023,17497.0,962.0,1857.0,8115.0,6012.0,73.0,2103.0,MITSUI_KESSAN
MCI,2024,18092.0,1010.0,1452.0,7917.0,6211.0,,1706.0,MITSUI_KESSAN
