"assumption_id","sector","route_id","route_name","geography","applicability","parameter_name","model_input_role","unit","low","base","high","value_type","case_type","base_year","price_year","currency","formula_or_method","source_id","source_url","source_location","quality_flag","boundary_note"
"ST_H2DRI_COST_PREMIUM","steel","steel_h2_dri_eaf","Hydrogen DRI plus EAF","Korea and Japan screening","Integrated works; route screening only","production_cost_premium_fraction_vs_bf_bof","screening_only","fraction",0.50,0.95,1.40,"Derived","published range plus midpoint","2024","not_applicable","not_applicable","Low/high are the IEA published 50-140% range; base is arithmetic midpoint (0.50+1.40)/2","IEA_STEEL_BREAKTHROUGH_2025","https://www.iea.org/reports/breakthrough-agenda-report-2025/steel","State of the transition > Cost","B","Regional production-cost premium, not facility CAPEX and not a Korea/Japan forecast."
"ST_H2DRI_POWER_ADVANTAGE","steel","steel_h2_dri_eaf","Hydrogen DRI plus EAF","Global screening","Integrated works; clean-power constraint","renewable_power_price_advantage_threshold","screening_only","USD/MWh",20,25,30,"Derived","published range plus midpoint","2020","2020","USD","Low/high are the IEA stated USD 20-30/MWh competitive-advantage range; base is midpoint","IEA_STEEL_BREAKTHROUGH_2025","https://www.iea.org/reports/iron-and-steel-technology-roadmap","Executive summary > technology portfolio","B","Directional global threshold; delivered clean-power cost in Korea/Japan may differ materially."
"ST_H2DRI_ABATEMENT","steel","steel_h2_dri_eaf","Hydrogen DRI plus EAF","Korea and Japan screening","Integrated works","scope1_2_emissions_reduction_fraction","transition_emissions_proxy","fraction",0.50,0.75,0.95,"Estimated","engineering stress range","2026","not_applicable","not_applicable","Low anchors NEDO direct-hydrogen-reduction target of at least 50%; base/high are analyst stress cases for clean power and residual emissions","NEDO_H2_STEEL_2026","https://green-innovation.nedo.go.jp/project/utilization-hydrogen-steelmaking/summary/","R&D target 2-1 and 2-2","C","Must be multiplied by a boundary-matched facility baseline; does not include ore, hydrogen, or grid upstream emissions."
"ST_H2DRI_AVAILABILITY","steel","steel_h2_dri_eaf","Hydrogen DRI plus EAF","Korea and Japan screening","Integrated works","earliest_commercial_availability_year","physical_constraint","year",2028,2035,2040,"Estimated","timing stress range","2026","not_applicable","not_applicable","Low uses POSCO 2028 demonstration completion; base/high add commercial scale-up allowance","POSCO_CLIMATE_2026","https://sustainability.posco.co.kr/S91/S91F10/eng/cmspage.do?mmcd=2648825310001953","HyREX demonstration plant","D","A 300 kt/year demonstration milestone is not commercial fleet availability."
"ST_BFH2CCUS_ABATEMENT","steel","steel_bf_h2_ccus","BF hydrogen reduction plus CO2 capture","Japan screening","Integrated BF-BOF works","scope1_2_emissions_reduction_fraction","transition_emissions_proxy","fraction",0.30,0.50,0.60,"Estimated","programme-target stress range","2026","not_applicable","not_applicable","Low reflects legacy COURSE50 combined reduction objective; base reflects NEDO current at-least-50% R&D target; high is analyst upside sensitivity","NEDO_H2_STEEL_2026","https://green-innovation.nedo.go.jp/project/utilization-hydrogen-steelmaking/summary/","R&D target 1","C","Capture, transport, storage, hydrogen supply and residual electricity emissions must pass separately."
"ST_BFH2CCUS_AVAILABILITY","steel","steel_bf_h2_ccus","BF hydrogen reduction plus CO2 capture","Japan screening","Integrated BF-BOF works","earliest_commercial_availability_year","physical_constraint","year",2030,2032,2035,"Estimated","timing stress range","2026","not_applicable","not_applicable","Low is NEDO's COURSE50 domestic introduction assumption by 2030; base/high allow deployment delay","NEDO_H2_STEEL_2026","https://green-innovation.nedo.go.jp/project/utilization-hydrogen-steelmaking/summary/","2030 impact assumptions","C","Programme target is conditional and does not establish site-specific readiness."
"ST_EAF_ABATEMENT_POSCO","steel","steel_scrap_eaf","Scrap-based EAF","POSCO Gwangyang","POSCO-specific project marker","scope1_2_emissions_reduction_fraction","transition_emissions_proxy","fraction",0.60,0.75,0.75,"Estimated","company point plus downside range","2026","not_applicable","not_applicable","Base/high retain POSCO's up-to-75% statement; low is analyst downside for power mix, utilisation and charge mix","POSCO_CLIMATE_2026","https://sustainability.posco.co.kr/S91/S91F10/eng/cmspage.do?mmcd=2648825310001953","New Electric Arc Furnace","C","POSCO-specific claim versus existing blast-furnace operation; not portable to every work."
"ST_EAF_START_POSCO","steel","steel_scrap_eaf","Scrap-based EAF","POSCO Gwangyang","POSCO-specific project marker","operating_start_year","decision_timing","year",2026,2026,2026,"Reported","company milestone","2026","not_applicable","not_applicable","Official company page states operation starting in 2026","POSCO_CLIMATE_2026","https://sustainability.posco.co.kr/S91/S91F10/eng/cmspage.do?mmcd=2648825310001953","New Electric Arc Furnace","A","Project milestone only; completion and achieved operating performance require later verification."
"ST_BF_SCRAP_ABATEMENT_POSCO","steel","steel_bf_increased_scrap","Double scrap charging in steelmaking","POSCO domestic steelmaking","POSCO-specific commercial measure","scope1_2_emissions_reduction_fraction","transition_emissions_proxy","fraction",0.10,0.10,0.10,"Reported","company target","2025","not_applicable","not_applicable","Official company page states approximately 10% reduction per tonne crude steel versus existing BF production","POSCO_CLIMATE_2026","https://sustainability.posco.co.kr/S91/S91F10/eng/cmspage.do?mmcd=2648825310001953","Development of Carbon-Reduced Steel Products and Services","B","Company target/comparison basis; achieved facility result is not independently observed here."
"PC_NAPHTHA_CAPEX","petrochemicals","petchem_naphtha_cracker_incumbent","Naphtha steam cracker incumbent","Global benchmark","High-value chemicals benchmark","overnight_capex_per_annual_capacity","incumbent_capex_proxy","USD/tHVC-year",2050,2050,2050,"Reported","published point","2017","2017","USD","IEA chart note reports USD 2,050 per tonne HVC annual capacity","IEA_PETCHEM_COST_2018","https://www.iea.org/data-and-statistics/charts/simplified-levelised-cost-of-petrochemicals-for-selected-feedstocks-and-regions-2017","chart notes","B","Historical global benchmark; requires inflation, location, integration and brownfield adjustments before facility use."
