scenario,region,variable,year,value,unit,source_id
NZ15,Korea,elec_price,2025,130000.0,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2026,131560.0,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2027,133138.7,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2028,134736.4,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2029,136353.2,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2030,137989.5,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2031,139645.3,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2032,141321.1,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2033,143016.9,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2034,144733.1,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2035,146469.9,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2036,148227.6,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2037,150006.3,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2038,151806.4,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2039,153628.1,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2040,155471.6,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2041,157337.2,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2042,159225.3,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2043,161136.0,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2044,163069.6,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2045,165026.5,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2046,167006.8,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2047,169010.9,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2048,171039.0,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2049,173091.5,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,elec_price,2050,175168.6,KRW/MWh,SAMPLE_SYNTH
NZ15,Korea,h2_price,2025,6500.0,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2026,6272.5,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2027,6053.0,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2028,5841.1,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2029,5636.7,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2030,5439.4,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2031,5249.0,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2032,5065.3,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2033,4888.0,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2034,4716.9,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2035,4551.8,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2036,4392.5,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2037,4238.8,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2038,4090.4,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2039,3947.3,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2040,3809.1,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2041,3675.8,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2042,3547.1,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2043,3423.0,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2044,3303.2,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2045,3187.6,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2046,3076.0,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2047,2968.3,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2048,2864.5,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2049,2764.2,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,h2_price,2050,2667.4,KRW/kgH2,SAMPLE_SYNTH
NZ15,Korea,coal_price,2025,220000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2026,217800.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2027,215622.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2028,213465.8,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2029,211331.1,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2030,209217.8,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2031,207125.6,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2032,205054.4,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2033,203003.8,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2034,200973.8,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2035,198964.1,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2036,196974.4,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2037,195004.7,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2038,193054.6,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2039,191124.1,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2040,189212.8,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2041,187320.7,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2042,185447.5,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2043,183593.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2044,181757.1,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2045,179939.5,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2046,178140.1,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2047,176358.7,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2048,174595.1,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2049,172849.2,KRW/t,SAMPLE_SYNTH
NZ15,Korea,coal_price,2050,171120.7,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2025,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2026,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2027,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2028,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2029,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2030,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2031,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2032,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2033,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2034,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2035,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2036,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2037,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2038,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2039,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2040,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2041,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2042,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2043,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2044,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2045,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2046,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2047,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2048,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2049,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,gas_price,2050,780000.0,KRW/t,SAMPLE_SYNTH
NZ15,Korea,co2_price,2025,25000.0,KRW/tCO2,SAMPLE_SYNTH
NZ15,Korea,co2_price,2026,27750.0,KRW/tCO2,SAMPLE_SYNTH
NZ15,Korea,co2_price,2027,30802.5,KRW/tCO2,SAMPLE_SYNTH
NZ15,Korea,co2_price,2028,34190.8,KRW/tCO2,SAMPLE_SYNTH
NZ15,Korea,co2_price,2029,37951.8,KRW/tCO2,SAMPLE_SYNTH
NZ15,Korea,co2_price,2030,42126.5,KRW/tCO2,SAMPLE_SYNTH
NZ15,Korea,co2_price,2031,46760.4,KRW/tCO2,SAMPLE_SYNTH
NZ15,Korea,co2_price,2032,51904.0,KRW/tCO2,SAMPLE_SYNTH
