company_id,scenario,support,capex_total_bnkrw,capex_peak_bnkrw,capex_peak_year,p50_bnkrw,cost_per_tco2_thkrw,tcar_bnkrw,flex_value_bnkrw,p50_incl_carbon_bnkrw,carbon_delta_bnkrw,policy_exposure_bnkrw,seed
LOTTE,NZ15,none,158.44,79.22,2041,775.8814885496809,279.16999168420534,2242.221516108641,312.0541793839767,61.95058906348095,-713.9308994861999,658.6681845413275,20260806
MCI,NZ15,none,68.544,34.272,2041,310.92352817687606,241.7150024783209,864.1388896464964,98.14227649233337,-12.850286030805592,-323.77381420768165,253.05009303108497,20260806
NSC,NZ15,none,32616.595579999997,3139.0711816666667,2035,53305.24394582251,155.6327824968784,32961.30686339531,1002.517894792827,-3273.754404001462,-56578.998349823974,32916.52613832382,20260806
POSCO,NZ15,none,20564.834,3390.5179444444443,2041,41568.96577170406,115.04737448018012,26752.56239594066,5385.00660459805,-17896.745541012628,-59465.71131271669,29539.82183170079,20260806
LOTTE,NZ15,none,158.44,79.22,2041,773.9428451914687,278.4724482343644,2236.14719660833,259.4641425011563,60.01194570526877,-713.9308994861999,656.956018309105,20260807
MCI,NZ15,none,68.544,34.272,2041,308.7511190870912,240.0261503300121,864.0133253593729,86.57881670244291,-15.02269512059047,-323.77381420768165,250.87288734996463,20260807
NSC,NZ15,none,32616.595579999997,3139.0711816666667,2035,52963.95473921413,154.63633665161413,31440.582936906772,970.3794034269172,-3615.0436106098423,-56578.998349823974,32669.298187764005,20260807
POSCO,NZ15,none,20564.834,3390.5179444444443,2041,41133.30591976958,113.84163069509889,25886.030513090904,4169.958095258659,-18332.405392947112,-59465.71131271669,29122.681061070452,20260807
LOTTE,NZ15,none,158.44,79.22,2041,783.8763274224798,282.04661541421325,2208.8422044918093,294.32551353589935,69.94542793627988,-713.9308994861999,666.6280471501993,20260808
MCI,NZ15,none,68.544,34.272,2041,311.81563073346547,242.40853176168304,857.6399949227805,93.45461884200216,-11.958183474216185,-323.77381420768165,253.9361332518924,20260808
NSC,NZ15,none,32616.595579999997,3139.0711816666667,2035,53202.44028974019,155.33263155744729,32745.24570175816,958.8812579494564,-3376.5580600837857,-56578.998349823974,32891.612449469,20260808
POSCO,NZ15,none,20564.834,3390.5179444444443,2041,41456.39692061904,114.73582593608816,26815.22198695912,4813.115778133029,-18009.31439209765,-59465.71131271669,29445.36163402152,20260808
LOTTE,NZ15,none,158.44,79.22,2041,782.3990732975976,281.51508446799915,2209.4072408781135,281.3442226399378,68.46817381139772,-713.9308994861999,665.3018100678908,20260809
MCI,NZ15,none,68.544,34.272,2041,312.8655435908736,243.224744321789,850.4331121129792,92.5998859043492,-10.908270616808068,-323.77381420768165,255.0022755205825,20260809
NSC,NZ15,none,32616.595579999997,3139.0711816666667,2035,53107.08741250676,155.0542343022353,31975.52032705732,951.4789009724076,-3471.9109373172178,-56578.998349823974,32784.301050620394,20260809
POSCO,NZ15,none,20564.834,3390.5179444444443,2041,41290.65944134992,114.27712648353034,25872.98980009206,4728.151195369937,-18175.05187136677,-59465.71131271669,29259.81518922125,20260809
LOTTE,NZ15,none,158.44,79.22,2041,789.4142120152792,284.0392021926525,2285.404252687335,296.8170671654495,75.48331252907929,-713.9308994861999,672.5736158362054,20260810
MCI,NZ15,none,68.544,34.272,2041,315.6354433947404,245.37809161551803,875.5481572532383,94.23945424239996,-8.138370812941275,-323.77381420768165,257.8206667803185,20260810
NSC,NZ15,none,32616.595579999997,3139.0711816666667,2035,53125.80086718179,155.1088710847658,32353.66450697603,970.0933945773982,-3453.1974826421865,-56578.998349823974,32822.90570361003,20260810
POSCO,NZ15,none,20564.834,3390.5179444444443,2041,41274.651865399224,114.23282349088352,26536.071489572132,5027.480453789386,-18191.059447317464,-59465.71131271669,29277.943419718893,20260810
