company_id,company_name,country_code,reported_production_mt,reported_scope12_emissions_mtco2,scenario_id,portfolio_origin_scenario_id,portfolio_id,carbon_budget_feasible,scenario_feasible,first_budget_breach_year,max_annual_budget_excess_mtco2,minimum_annual_budget_margin_mtco2,physical_constraints_feasible,resource_constraints_feasible,construction_concurrency_feasible,failure_risk_constraint_feasible,first_resource_breach_year,max_scrap_supply_excess_mt,max_hydrogen_supply_excess_mt,max_incremental_grid_excess_twh,max_concurrent_construction_projects,concurrent_construction_limit,portfolio_failure_probability,portfolio_failure_probability_limit,expected_failure_delay_years,plan_id,plan_name,is_disclosed_plan,aligned_capex_bn_krw,peak_capex_year,peak_capex_bn_krw,expected_cost_p50_kkrw_per_tco2,expected_cost_p50_bn_krw,absolute_npv_p50_bn_krw,absolute_npv_p90_bn_krw,scenario_avoided_emissions_mtco2,common_avoided_emissions_mtco2,net_economic_cost_p50_kkrw_per_tco2_common_denominator,net_cash_cost_after_support_p50_kkrw_per_tco2_common_denominator,cash_cost_before_support_p50_bn_krw,net_cash_cost_after_support_p50_bn_krw,net_cash_cost_after_support_p90_bn_krw,avoided_carbon_cost_value_p50_bn_krw,policy_support_value_p50_bn_krw,cash_policy_p50_nonadditivity_bn_krw,economic_cost_p50_identity_delta_bn_krw,p90_cost_kkrw_per_tco2,tcar_kkrw_per_tco2,gross_cost_p50_kkrw_per_tco2,policy_support_dependence_kkrw_per_tco2,electricity_variance_share,hydrogen_variance_share,capex_variance_share,policy_uncertainty_exposure_kkrw_per_tco2,flexibility_value_kkrw_per_tco2,avoided_emissions_mtco2,p90_net_cost_bn_krw,p90_cost_to_ebitda_x,p90_cost_to_annual_capex_x,capex_cost_p50_bn_krw,fixed_opex_cost_p50_bn_krw,electricity_cost_p50_bn_krw,hydrogen_cost_p50_bn_krw,contract_premium_p50_bn_krw,carbon_value_p50_bn_krw,policy_support_p50_bn_krw,component_reconciliation_p50_bn_krw
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-DE64C6FAC717,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.25895987200000004,0.65,0.74,P1,지연·현물조달,False,15748.0,2035,5768.0,11.899885,2194.592,2194.592,3855.593,184.421263,184.421263,11.899885,48.02213,9490.159,8856.302,10517.303,6661.71,630.755,-3.102,-0.0,20.906446,9.006561,15.336893,3.437008,0.587116,0.0,0.412884,15.660788,0.0,184.421263,3855.593,0.911488,1.631018,5426.379,715.17,3420.842,0.0,0.0,-6661.71,-709.791,3.701
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-39601EAF8865,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.33950771199999996,0.65,1.2200000000000002,P2,지연·부분헤지,False,19250.0,2037,9270.0,60.379002,11708.953,11708.953,15189.046,193.924259,193.924259,60.379002,96.490016,20047.282,18711.755,22191.848,7002.802,1398.813,63.286,0.0,78.324632,17.945629,67.26585,6.886848,0.856585,0.005291,0.138123,12.920531,48.569103,193.924259,15189.046,3.590791,6.425369,6207.98,844.557,3602.894,9386.917,27.223,-7002.802,-1326.916,-30.9
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-AD0B41B0F73F,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.4113003519999999,0.65,1.7000000000000002,P3,균형형 라이트헤지,False,22752.0,2035,9270.0,121.87818,25371.9,25371.9,30518.372,208.174258,208.174258,121.87818,157.994848,36104.602,32890.46,38036.933,7518.561,3258.018,43.877,-0.0,146.600125,24.721946,137.317848,15.439668,0.924432,0.009245,0.066323,10.928983,109.947925,208.174258,30518.372,7.214745,12.910081,7023.733,1049.735,3378.051,24299.606,144.045,-7518.561,-2981.305,-23.405
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-DDCBA267CA97,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.4113003519999999,0.65,1.7000000000000002,P4,균형형 전환,False,22752.0,2034,9270.0,118.342941,29200.682,29200.682,33185.57,246.746291,246.746291,118.342941,154.557978,42866.253,38136.608,42121.496,8935.926,4751.962,22.317,-0.0,134.49268,16.149738,137.510989,19.168048,0.935215,0.009556,0.055229,12.686387,106.744112,246.746291,33185.57,7.845288,14.038376,9714.7,1264.538,3819.891,27782.199,378.938,-8935.926,-4804.371,-19.288
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-C07B5FF15869,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.49715238399999995,0.65,2.3400000000000003,P5,조기 계약형 전환,False,27562.0,2034,9270.0,124.001191,44931.373,44931.373,48516.06,362.346302,362.346302,124.001191,160.289181,67937.628,58080.192,61664.879,13148.819,9857.651,0.215,-0.0,133.894178,9.892986,151.205652,27.204461,0.939746,0.009989,0.050265,15.487263,112.571846,362.346302,48516.06,11.469518,20.52358,11910.432,1735.149,6225.329,46940.912,1058.081,-13148.819,-9807.772,18.06
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-73B2FF1A66A0,True,False,,0.0,2.0275124185786808e-05,False,False,True,True,2028,0.0,0.3371646534999999,0.6234470549999998,3,3,0.5704843279999999,0.65,2.98,P6,조기 고헤지,False,32892.0,2033,9270.0,129.075504,74747.974,74747.974,77058.903,579.10271,579.10271,129.075504,165.371392,117260.892,95767.021,98077.95,21019.047,21493.871,0.0,-0.0,133.066038,3.990534,166.191322,37.115818,0.951699,0.011961,0.036339,19.631431,117.714292,579.10271,77058.903,18.217235,32.597959,17298.362,2750.76,10647.62,83245.141,3314.697,-21019.047,-21494.027,4.468
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-47C5D429DB2E,True,False,,0.0,2.0275124185786808e-05,False,False,True,True,2028,0.0,0.5371646534999999,2.2234470549999994,3,3,0.5704843279999999,0.65,2.98,P7,완전 수소·계약형,False,32892.0,2032,9270.0,127.524541,80072.553,80072.553,80872.193,627.899166,627.899166,127.524541,163.83613,129039.292,102872.569,103672.21,22800.016,26164.553,-2.17,-0.0,128.798058,1.273517,169.197989,41.673447,0.935325,0.01486,0.049815,21.810927,115.953299,627.899166,80872.193,19.118722,34.211082,18551.297,3034.098,11581.163,90674.575,5186.363,-22800.016,-26160.7,5.772
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-69189DCC5A53,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.4113003519999999,0.65,1.7000000000000002,CURRENT,POSCO 공시전략 프록시,True,22752.0,2033,9270.0,127.241076,36304.211,36304.211,44631.607,285.318325,285.318325,127.241076,163.530239,49879.229,46658.174,54985.571,10353.963,3266.897,45.842,0.0,156.427412,29.186336,138.530415,11.289339,0.95719,0.010149,0.03266,9.3048,115.503266,285.318325,44631.607,10.551207,18.880353,10724.474,1491.155,4593.206,33201.834,122.961,-10353.963,-3426.619,-48.837
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,DISCLOSED_PATH,PORT-DE64C6FAC717,False,False,2030,16.324744844999994,-16.324744844999994,True,True,True,True,,0.0,0.0,0.0,2,3,0.25895987200000004,0.65,0.74,P1,지연·현물조달,False,15748.0,2035,5768.0,-3.760903,-693.59,-693.59,1099.762,184.421263,184.421263,-3.760903,49.44939,9995.291,9119.519,10912.872,9813.109,842.18,-33.591,-0.0,5.963315,9.724218,0.987853,4.748756,0.671208,0.0,0.328792,15.660788,0.0,184.421263,1099.762,0.259991,0.465229,5231.72,715.17,4093.752,0.0,0.0,-9813.109,-911.05,-10.073
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,DISCLOSED_PATH,PORT-39601EAF8865,False,False,2030,13.94899577,-13.94899577,True,True,True,True,,0.0,0.0,0.0,2,3,0.33950771199999996,0.65,1.2200000000000002,P2,지연·부분헤지,False,19250.0,2037,9270.0,47.458471,9203.349,9203.349,13083.079,193.924259,193.924259,47.458471,100.664394,21450.105,19521.268,23400.998,10317.919,1934.057,5.22,0.0,67.464892,20.006421,57.404814,9.946342,0.900035,0.003431,0.096535,12.920531,0.0,193.924259,13083.079,3.092927,5.534489,7942.28,844.557,3909.965,9018.845,28.772,-10317.919,-2196.693,-26.458
