company_id,company_name,candidate_id,template_plan_id,physical_portfolio_id,from_scenario_id,to_scenario_id,from_scenario_feasible,to_scenario_feasible,same_physical_portfolio,common_avoided_emissions_mtco2,delta_p50_common_kkrw_per_tco2_mean,delta_p50_common_kkrw_per_tco2_std,delta_tcar_kkrw_per_tco2_mean,delta_tcar_kkrw_per_tco2_std,delta_absolute_npv_p50_bn_krw_mean,delta_absolute_npv_p50_bn_krw_std,delta_absolute_npv_p90_bn_krw_mean,delta_absolute_npv_p90_bn_krw_std,delta_aligned_capex_bn_krw_mean,delta_aligned_capex_bn_krw_std,delta_net_cash_cost_p50_bn_krw_mean,delta_net_cash_cost_p50_bn_krw_std,delta_avoided_carbon_value_p50_bn_krw_mean,delta_avoided_carbon_value_p50_bn_krw_std,delta_policy_support_value_p50_bn_krw_mean,delta_policy_support_value_p50_bn_krw_std
JFE_STEEL_JP,JFE Steel,CAND-0B566F19FFC9A2,P2,PORT-CCD4397FA6D4,ACCELERATED_15C,DISCLOSED_PATH,False,True,True,281.895878,8.164589,0.319672,-2.29147,0.062343,2301.564,90.114488,1655.608667,82.677419,0.0,0.0,-2360.212333,90.115015,-4661.776,0.0,-893.663333,7.049227
JFE_STEEL_JP,JFE Steel,CAND-0C103CAC9E9685,P1,PORT-48EB0158352D,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,209.90085,1.162916,0.534845,-4.09674,1.542732,244.097333,112.264192,-615.812333,212.126296,0.0,0.0,-3320.155333,112.264491,-3564.253,0.0,-538.77,20.427323
JFE_STEEL_JP,JFE Steel,CAND-11566829CB83FF,P1,PORT-7C1FC602A00B,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,341.808365,1.651197,0.293952,-3.269915,0.608855,564.393333,100.475867,-553.291667,248.897564,0.0,0.0,-5104.955,100.475092,-5669.347,0.0,-754.834333,15.552577
JFE_STEEL_JP,JFE Steel,CAND-12D758CC621EDD,P3,PORT-04FFFE8075F6,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,348.620862,7.89647,0.094584,-2.11389,0.498233,2752.874333,32.973345,2015.927667,206.368291,0.0,0.0,-3033.842333,32.9735,-5786.717,0.0,-3611.543667,48.060016
JFE_STEEL_JP,JFE Steel,CAND-156DBD688B285D,P2,PORT-4FBC33F20EEF,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,191.900857,11.154429,0.251014,-1.610247,0.355321,2140.544333,48.17,1831.536333,79.809394,0.0,0.0,-1117.552667,48.17,-3258.097,0.0,-449.25,5.20484
JFE_STEEL_JP,JFE Steel,CAND-1D1CB9506368C0,P2,PORT-0FD37D80B1EA,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,330.620869,7.241761,0.65127,-1.856171,1.125898,2394.277333,215.323522,1780.588,165.883066,0.0,0.0,-3086.284,215.3236,-5480.561,0.0,-1318.198333,28.929587
JFE_STEEL_JP,JFE Steel,CAND-2384C3F783562D,P2,PORT-04FFFE8075F6,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,348.620862,3.372868,0.232716,-3.841106,0.415751,1175.852,81.130218,-163.237333,225.387017,0.0,0.0,-4610.864333,81.129817,-5786.717,0.0,-1960.284667,25.465571
JFE_STEEL_JP,JFE Steel,CAND-25BA0666383526,P1,PORT-E3494C854A0D,ACCELERATED_15C,DISCLOSED_PATH,True,False,True,323.808372,7.437389,0.432617,-2.78619,0.683477,2408.289,140.085008,1506.097333,91.617468,0.0,0.0,-2954.903333,140.084824,-5363.192,0.0,-525.456,8.575193
JFE_STEEL_JP,JFE Steel,CAND-27DEF6B976065D,P3,PORT-408F044D6828,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,302.295879,7.63466,0.251992,-1.029744,0.978545,2307.926,76.176257,1996.638667,284.966172,0.0,0.0,-2680.683333,76.176773,-4988.609,0.0,-2999.672667,33.004283
JFE_STEEL_JP,JFE Steel,CAND-2AFD85912C485D,P5,PORT-844170813924,ACCELERATED_15C,DISCLOSED_PATH,False,False,True,381.425854,18.603598,0.102189,0.309801,0.104724,7095.893667,38.977529,7214.059333,59.017692,0.0,0.0,862.925,38.977792,-6232.969,0.0,-7170.866333,55.666354
