company_id,company_name,country_code,reported_production_mt,reported_scope12_emissions_mtco2,scenario_id,portfolio_origin_scenario_id,portfolio_id,candidate_id,template_plan_id,physical_portfolio_id,common_avoided_emissions_mtco2,deterministic_economic_npv_bn_krw,deterministic_cost_common_kkrw_per_tco2,carbon_budget_feasible,scenario_feasible,first_budget_breach_year,max_annual_budget_excess_mtco2,minimum_annual_budget_margin_mtco2,physical_constraints_feasible,resource_constraints_feasible,construction_concurrency_feasible,failure_risk_constraint_feasible,first_resource_breach_year,max_scrap_supply_excess_mt,max_hydrogen_supply_excess_mt,max_incremental_grid_excess_twh,max_concurrent_construction_projects,concurrent_construction_limit,portfolio_failure_probability,portfolio_failure_probability_limit,expected_failure_delay_years,plan_id,plan_name,is_disclosed_plan,aligned_capex_bn_krw,peak_capex_year,peak_capex_bn_krw,expected_cost_p50_kkrw_per_tco2,expected_cost_p50_bn_krw,absolute_npv_p50_bn_krw,absolute_npv_p90_bn_krw,scenario_avoided_emissions_mtco2,net_economic_cost_p50_kkrw_per_tco2_common_denominator,net_cash_cost_after_support_p50_kkrw_per_tco2_common_denominator,cash_cost_before_support_p50_bn_krw,net_cash_cost_after_support_p50_bn_krw,net_cash_cost_after_support_p90_bn_krw,avoided_carbon_cost_value_p50_bn_krw,policy_support_value_p50_bn_krw,cash_policy_p50_nonadditivity_bn_krw,economic_cost_p50_identity_delta_bn_krw,p90_cost_kkrw_per_tco2,tcar_kkrw_per_tco2,gross_cost_p50_kkrw_per_tco2,policy_support_dependence_kkrw_per_tco2,electricity_variance_share,hydrogen_variance_share,capex_variance_share,policy_uncertainty_exposure_kkrw_per_tco2,flexibility_value_kkrw_per_tco2,avoided_emissions_mtco2,p90_net_cost_bn_krw,p90_cost_to_ebitda_x,p90_cost_to_annual_capex_x,capex_cost_p50_bn_krw,fixed_opex_cost_p50_bn_krw,electricity_cost_p50_bn_krw,hydrogen_cost_p50_bn_krw,contract_premium_p50_bn_krw,carbon_value_p50_bn_krw,policy_support_p50_bn_krw,component_reconciliation_p50_bn_krw,candidate_path_count,refinement_shortlist_rank,refinement_tier,is_generated_candidate,risk_decomposition_method,shapley_full_variance,shapley_reconciliation_delta,electricity_shapley_variance_share,hydrogen_shapley_variance_share,capex_shapley_variance_share,electricity_shapley_variance_contribution,hydrogen_input_shapley_variance_contribution,construction_capex_shapley_variance_contribution,scenario_regret_p50_kkrw_per_tco2
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-8826D0B469EE,CAND-6339E6B83A8408,P3,PORT-8826D0B469EE,429.154227,26569.752,61.911896,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.459336608,0.65,2.02,P3,균형형 라이트헤지,False,27588.0,2037,9270.0,63.2459,27142.245,27142.245,33620.986,429.154227,63.2459,99.494621,46582.947,42698.537,49177.278,15556.292,3888.423,4.014,0.0,78.342432,15.096531,72.297214,9.051313,0.924205,0.00655,0.069245,0.0,0.0,429.154227,33620.986,7.948224,14.222569,10298.493,1500.071,10035.861,24242.825,191.41,-15556.292,-3562.21,-7.912,1000,1,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,109.914356369819,0.0,0.858326894,0.048490159,0.093182947,94.342448118246,5.329764618886,10.242143632686,53.968353
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,DISCLOSED_PATH,PORT-8826D0B469EE,CAND-6339E6B83A8408,P3,PORT-8826D0B469EE,429.154227,21116.24,49.204315,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.459336608,0.65,2.02,P3,균형형 라이트헤지,False,27588.0,2037,9270.0,50.561399,21698.638,21698.638,28656.343,429.154227,50.561399,103.524785,49868.466,44428.099,51385.804,22729.461,5420.382,-19.984,-0.0,66.773996,16.212597,63.238349,12.67695,0.94678,0.00418,0.049039,0.0,0.0,429.154227,28656.343,6.774549,12.122393,11194.747,1500.071,10358.137,26440.403,204.242,-22729.461,-5268.676,-0.825,1000,1,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,125.066903462602,-0.0,0.889528756,0.038791284,0.07167996,111.250607046963,4.851505723609,8.964790692029,31.526931
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-8826D0B469EE,CAND-82FF2AA13BA34C,P2,PORT-8826D0B469EE,429.154227,27287.38,63.584089,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.459336608,0.65,2.02,P2,지연·부분헤지,False,27588.0,2037,9270.0,65.25755,28005.553,28005.553,36078.616,429.154227,65.25755,101.506271,46593.334,43561.845,51634.908,15556.292,3016.386,-15.103,-0.0,84.069115,18.811565,72.321417,7.063867,0.926057,0.006613,0.06733,0.0,0.0,429.154227,36078.616,8.529224,15.262211,12206.373,1500.071,9124.384,23695.652,61.239,-15556.292,-3024.844,-1.031,1000,2,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,171.132951120521,0.0,0.860158679,0.04877139,0.09106993,147.20149320194,8.346391963123,15.585065955458,55.980003
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,DISCLOSED_PATH,PORT-8826D0B469EE,CAND-82FF2AA13BA34C,P2,PORT-8826D0B469EE,429.154227,22213.621,51.761393,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.459336608,0.65,2.02,P2,지연·부분헤지,False,27588.0,2037,9270.0,53.528728,22972.08,22972.08,31725.002,429.154227,53.528728,106.492114,49872.78,45701.541,54454.464,22729.461,4149.876,-21.363,-0.0,73.924479,20.395751,63.248402,9.719674,0.949799,0.004265,0.045936,0.0,0.0,429.154227,31725.002,7.500001,13.420517,10376.454,1500.071,10869.879,26536.553,64.983,-22729.461,-3640.966,-5.432,1000,2,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,201.98186944368,0.0,0.892755142,0.039244716,0.068000141,180.320352621799,7.926721165139,13.734795656742,34.49426
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-8826D0B469EE,CAND-C9724A8933A429,P1,PORT-8826D0B469EE,429.154227,27787.608,64.749702,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.459336608,0.65,2.02,P1,지연·현물조달,False,27588.0,2037,9270.0,66.64762,28602.108,28602.108,37935.673,429.154227,66.64762,102.896341,46639.608,44158.4,53491.965,15556.292,2410.675,-70.533,0.0,88.396364,21.748744,72.429243,5.781623,0.929594,0.006483,0.063923,0.0,0.0,429.154227,37935.673,8.968244,16.047796,15647.174,1500.071,8863.465,21255.365,0.0,-15556.292,-3112.001,4.327,1000,3,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,227.646164275199,0.0,0.864093213,0.048304018,0.087602769,196.707505525718,10.996224427518,19.942434321963,57.370073
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,DISCLOSED_PATH,PORT-8826D0B469EE,CAND-C9724A8933A429,P1,PORT-8826D0B469EE,429.154227,22967.067,53.517047,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,3,3,0.459336608,0.65,2.02,P1,지연·현물조달,False,27588.0,2037,9270.0,55.575492,23850.457,23850.457,34069.053,429.154227,55.575492,108.538878,49915.218,46579.918,56798.514,22729.461,3267.954,-67.345,-0.0,79.386503,23.811011,63.347289,7.771797,0.953203,0.004203,0.042594,0.0,0.0,429.154227,34069.053,8.05415,14.412113,16402.908,1500.071,10085.085,23027.392,0.0,-22729.461,-4433.481,-2.057,1000,3,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,275.057057375355,0.0,0.896779445,0.038983062,0.064237492,246.665515343151,10.722566420904,17.668975611301,36.541024
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-96133A6427FE,CAND-921D50D4015721,P3,PORT-96133A6427FE,430.20423,28331.133,65.855078,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.45933660799999987,0.65,2.02,P3,균형형 라이트헤지,False,26602.0,2037,9270.0,67.63886,29098.524,29098.524,35564.545,430.20423,67.63886,103.895912,48603.942,44696.461,51162.482,15597.937,3949.795,42.314,0.0,82.66898,15.03012,76.721713,9.082853,0.929151,0.006648,0.064201,0.0,0.0,430.20423,35564.545,8.407694,15.044746,12693.916,1534.895,9531.916,24743.15,197.705,-15597.937,-4006.994,1.874,1000,4,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,107.057629388008,0.0,0.859714321,0.049642891,0.090642788,92.038977169049,5.314650260451,9.704001958509,58.361313
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,DISCLOSED_PATH,PORT-96133A6427FE,CAND-921D50D4015721,P3,PORT-96133A6427FE,430.20423,22859.063,53.135375,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.45933660799999987,0.65,2.02,P3,균형형 라이트헤지,False,26602.0,2037,9270.0,55.045407,23680.767,23680.767,30602.859,430.20423,55.045407,108.005047,51939.426,46464.228,53386.32,22783.461,5516.944,41.746,0.0,71.135654,16.090247,67.77238,12.726973,0.949517,0.004336,0.046147,0.0,0.0,430.20423,30602.859,7.234718,12.945821,13748.916,1534.895,10601.451,26153.79,210.636,-22783.461,-5786.888,1.429,1000,4,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,121.127570427936,0.0,0.889015035,0.040090424,0.070894541,107.684231263123,4.856055674218,8.587283490595,36.010939
POSCO_KR,POSCO,KR,34.537,69.84605,DISCLOSED_PATH,DISCLOSED_PATH,PORT-96133A6427FE,CAND-4EF614D30D6D91,P2,PORT-96133A6427FE,430.20423,29134.516,67.722522,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.45933660799999987,0.65,2.02,P2,지연·부분헤지,False,26602.0,2037,9270.0,69.943418,30089.954,30089.954,38148.667,430.20423,69.943418,106.20047,48643.436,45687.891,53746.604,15597.937,2991.034,35.49,-0.0,88.675714,18.732296,76.813514,6.870096,0.930802,0.006718,0.062479,0.0,0.0,430.20423,38148.667,9.018597,16.137898,12256.414,1534.895,9664.236,25164.447,62.708,-15597.937,-2987.887,-6.922,1000,5,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,166.563690959244,-0.0,0.861317469,0.049930937,0.088751595,143.464216687101,8.316681111019,14.782793161125,60.665871
POSCO_KR,POSCO,KR,34.537,69.84605,ACCELERATED_15C,DISCLOSED_PATH,PORT-96133A6427FE,CAND-4EF614D30D6D91,P2,PORT-96133A6427FE,430.20423,24083.473,55.981487,True,True,,0.0,2.0275124185786808e-05,True,True,True,True,,0.0,0.0,0.0,2,3,0.45933660799999987,0.65,2.02,P2,지연·부분헤지,False,26602.0,2037,9270.0,58.381947,25116.161,25116.161,33981.702,430.20423,58.381947,111.341588,51974.049,47899.622,56765.163,22783.461,4122.491,48.064,0.0,78.989697,20.60775,67.852861,9.470913,0.952256,0.004433,0.043311,0.0,0.0,430.20423,33981.702,8.033499,14.375161,9954.745,1534.895,11206.38,28723.59,66.478,-22783.461,-3585.024,-1.441,1000,5,deterministic_robust_shortlist_full_paths,True,variance_game_shapley_common_random_numbers,195.283390834027,-0.0,0.891896923,0.040566635,0.067536443,174.172655329243,7.92199000568,13.188745499103,39.347479
